tract,Neighborhood,Employment Rate
11001007503,"Historic Anacostia, Washington, DC",0.6963
11001009907,"Southeast Washington, Washington, DC",0.6959
11001007404,"Douglass, Washington, DC",0.6957
11001002802,"Columbia Heights, Washington, DC",0.6953
11001009801,"Southeast Washington, Washington, DC",0.694
11001010900,"Southwest Washington, Washington, DC",0.6918
11001004701,"Northwest Washington, Washington, DC",0.6917
11001009204,"Edgewood, Washington, DC",0.6916
11001007408,"Southeast Washington, Washington, DC",0.6883
11001010600,"Near Northeast, Washington, DC",0.6868
11001003800,"Northwest Washington, Washington, DC",0.6829
11001005301,"Northwest Washington, Washington, DC",0.6809
11001004400,"Northwest Washington, Washington, DC",0.6751
11001003100,"Northwest Washington, Washington, DC",0.6742
11001006400,"Southwest Washington, Washington, DC",0.6642
11001009802,"Southeast Washington, Washington, DC",0.6571
11001003500,"Northwest Washington, Washington, DC",0.6551
11001007100,"Southeast Washington, Washington, DC",0.654
11001005002,"Downtown, Washington, DC",0.6245
11001007200,"Capitol Riverfront, Washington, DC",0.6179
11001005900,"Northwest Washington, Washington, DC",0.6121
11001003400,"Howard University, Washington, DC",0.6051
11001001301,"Northwest Washington, Washington, DC",0.5566
