tract,Neighborhood,Employment Rate
24510260700,"Fifteenth Street, Baltimore, MD",0.7438
24510120202,"Baltimore, MD",0.7408
24510270804,"Lake Walker, Baltimore, MD",0.7366
24510010500,"Upper Fells Point, Baltimore, MD",0.7366
24510250206,"Morrell Park, Baltimore, MD",0.732
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.7303
24510261000,"Patterson Park, Baltimore, MD",0.73
24510250103,"Violetville, Baltimore, MD",0.7288
24510260203,"Frankford, Baltimore, MD",0.7287
24003750102,"Baltimore, MD",0.7284
24510250101,"Beechfield, Baltimore, MD",0.7269
24510260800,"Baltimore Highlands, Baltimore, MD",0.7244
24510272004,"Cheswolde, Baltimore, MD",0.7233
24510250402,"Brooklyn, Baltimore, MD",0.722
24510250301,"Westport, Baltimore, MD",0.7212
24510250401,"Brooklyn, Baltimore, MD",0.7204
24510240100,"Locust Point, Baltimore, MD",0.7179
24510130600,"Hampden, Baltimore, MD",0.7173
24510120201,"Baltimore, MD",0.7167
24510130700,"Hampden, Baltimore, MD",0.7162
24510260501,"Joseph Lee, Baltimore, MD",0.7157
24510272005,"Cross Country, Baltimore, MD",0.7144
24510060300,"Butchers Hill, Baltimore, MD",0.713
24005452300,"Baltimore, MD",0.7123
24003750203,"Baltimore, MD",0.7119
24005430900,"Baltimore, MD",0.708
24510271102,"Mid-Charles, Baltimore, MD",0.7042
24510120600,"Old Goucher, Baltimore, MD",0.7033
24510230200,"South Baltimore, Baltimore, MD",0.7032
24510200600,"Baltimore, MD",0.7022
24510271101,"Radnor - Winston, Baltimore, MD",0.7005
24510250303,"Morrell Park, Baltimore, MD",0.7002
24510110200,"Downtown, Baltimore, MD",0.7001
24510240400,"Riverside Park, Baltimore, MD",0.6939
24005421101,"Baltimore, MD",0.6904
24510090400,"Better Waverly, Baltimore, MD",0.6852
24510260101,"Cedmont, Baltimore, MD",0.6836
24510060400,"Baltimore, MD",0.6809
24510240300,"Riverside, Baltimore, MD",0.6755
24510020200,"Upper Fells Point, Baltimore, MD",0.6735
24510272003,"Baltimore, MD",0.6732
24510250205,"Lakeland, Baltimore, MD",0.6685
24510060200,"Baltimore, MD",0.6667
24510230300,"South Baltimore, Baltimore, MD",0.6657
24510060100,"Patterson Park, Baltimore, MD",0.654
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.6473
24510250500,"Curtis Bay, Baltimore, MD",0.6424
24510271900,"Glen, Baltimore, MD",0.6413
24510272006,"Glen, Baltimore, MD",0.6411
24510260404,"Baltimore Highlands, Baltimore, MD",0.641
24510130804,"Hampden, Baltimore, MD",0.6384
24510260401,"Armistead Gardens, Baltimore, MD",0.6336
24510260604,"O'Donnell Heights, Baltimore, MD",0.6312
24510070200,"Madison - Eastend, Baltimore, MD",0.6218
24510110100,"Downtown, Baltimore, MD",0.6117
24510210200,"Pigtown, Baltimore, MD",0.5943
24510190300,"Mount Clare, Baltimore, MD",0.589
24510120700,"Remington, Baltimore, MD",0.587
24510272007,"Fallstaff, Baltimore, MD",0.5765
24510190200,"Pratt Monroe, Baltimore, MD",0.5636
24510200500,"Mill Hill, Baltimore, MD",0.5571
24510210100,"Pigtown, Baltimore, MD",0.5564
24510230100,"Baltimore, MD",0.5499
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.5438
24510090500,"Better Waverly, Baltimore, MD",0.5431
24510180300,"Hollins Market, Baltimore, MD",0.5285
24510250600,"Brooklyn, Baltimore, MD",0.5214
24510030100,"Perkins Homes, Baltimore, MD",0.481
24510280101,"Reisterstown Station, Baltimore, MD",0.4655
24510200400,"Shipley Hill, Baltimore, MD",0.4265
